user_id,username,repos_starred,prs_merged,commits,activity_date
4,wycats,256,0,0,2026-09-15T18:36:47Z
6,ivey,61,0,0,2026-08-23T23:02:17Z
7,evanphx,148,0,0,2026-09-16T11:43:38Z
17,vanpelt,761,0,0,2026-09-14T14:59:30Z
18,wayneeseguin,236,0,0,2026-09-15T01:21:57Z
19,brynary,1651,0,0,2026-09-14T17:04:12Z
20,kevinclark,25,0,0,2026-09-15T02:08:00Z
22,macournoyer,330,0,0,2026-09-14T23:22:13Z
25,caged,1379,0,0,2026-09-05T12:41:43Z
26,topfunky,1002,0,0,2026-09-16T01:46:57Z
29,lukas,82,0,0,2026-09-15T04:33:46Z
34,nitay,91,0,0,2026-09-11T17:34:07Z
45,sethfitz,1450,0,0,2026-09-16T04:11:09Z
46,bmizerany,217,0,0,2026-08-30T19:55:23Z
47,jnewland,1059,0,0,2026-08-27T20:01:22Z
68,bs,447,0,0,2026-09-08T23:52:46Z
69,rsanheim,52,0,0,2026-09-16T10:25:21Z
70,schacon,327,0,0,2026-09-07T11:42:51Z
72,bruce,252,0,0,2026-09-06T05:06:56Z
74,mmower,121,0,0,2026-09-14T12:59:01Z
75,abhay,10,0,0,2026-09-14T01:04:51Z
76,rabble,155,0,0,2026-09-15T05:26:57Z
77,benburkert,129,0,0,2026-09-10T19:50:00Z
78,indirect,879,0,0,2026-09-14T11:40:11Z
79,fearoffish,73,0,0,2026-09-14T12:29:44Z
80,ry,125,0,0,2026-09-15T09:03:06Z
82,jsierles,89,0,0,2026-09-02T22:35:01Z
83,tweibley,291,0,0,2026-09-15T15:11:56Z
85,brixen,951,0,0,2026-09-15T00:31:17Z
87,tmornini,9,0,0,2026-09-16T02:30:55Z
89,daksis,717,0,0,2026-09-10T15:25:07Z
92,rsl,51,0,0,2026-09-14T16:23:46Z
93,imownbey,189,0,0,2026-09-14T18:30:24Z
95,jm,144,0,0,2026-09-16T02:45:57Z
100,kmarsh,1349,0,0,2026-09-03T18:17:26Z
101,jvantuyl,82,0,0,2026-09-07T00:21:46Z
103,freeformz,239,0,0,2026-09-15T15:12:52Z
104,hassox,422,0,0,2026-09-08T19:14:37Z
106,queso,45,0,0,2026-09-16T04:27:54Z
107,lancecarlson,1763,0,0,2026-09-04T17:52:24Z
111,HamptonMakes,67,0,0,2026-09-15T16:11:34Z
113,mattetti,1150,0,0,2026-08-17T14:40:32Z
114,ctennis,4,0,0,2026-09-15T18:25:52Z
117,grempe,384,0,0,2026-09-16T05:58:14Z
118,peterc,1164,0,0,2026-09-14T14:38:21Z
120,afarnham,70,0,0,2026-09-15T18:05:51Z
123,heavysixer,170,0,0,2026-09-05T01:02:59Z
125,danielmorrison,31,0,0,2026-09-03T15:55:18Z
129,canadaduane,870,0,0,2026-09-16T04:37:59Z
130,corasaurus-hex,1107,0,0,2026-09-15T05:45:24Z
131,dstrelau,341,0,0,2026-09-14T17:14:32Z
132,sunny,704,0,0,2026-09-15T10:14:37Z
133,dkubb,135,0,0,2026-09-06T07:29:03Z
4,wycats,256,0,0,2026-09-15T18:36:47Z
6,ivey,61,0,0,2026-08-23T23:02:17Z
7,evanphx,148,0,0,2026-09-16T11:21:50Z
17,vanpelt,761,0,0,2026-09-14T14:59:30Z
18,wayneeseguin,236,0,0,2026-09-15T01:21:57Z
19,brynary,1651,0,0,2026-09-14T17:04:12Z
20,kevinclark,25,0,0,2026-09-15T02:08:00Z
22,macournoyer,330,0,0,2026-09-14T23:22:13Z
25,caged,1379,0,0,2026-09-05T12:41:43Z
26,topfunky,1002,0,0,2026-09-16T01:46:57Z
29,lukas,82,0,0,2026-09-14T20:03:17Z
34,nitay,91,0,0,2026-09-11T17:34:07Z
45,sethfitz,1450,0,0,2026-09-16T04:11:09Z
46,bmizerany,217,0,0,2026-08-30T19:55:23Z
47,jnewland,1059,0,0,2026-08-27T20:01:22Z
68,bs,447,0,0,2026-09-08T23:52:46Z
69,rsanheim,52,0,0,2026-09-16T09:09:06Z
70,schacon,327,0,0,2026-09-07T11:42:51Z
72,bruce,252,0,0,2026-09-06T05:06:56Z
74,mmower,121,0,0,2026-09-14T12:59:01Z
75,abhay,10,0,0,2026-09-14T01:04:51Z
76,rabble,155,0,0,2026-09-15T05:26:57Z
77,benburkert,129,0,0,2026-09-10T19:50:00Z
78,indirect,879,0,0,2026-09-14T11:40:11Z
79,fearoffish,73,0,0,2026-09-14T12:29:44Z
80,ry,125,0,0,2026-09-15T09:03:06Z
82,jsierles,89,0,0,2026-09-02T22:35:01Z
83,tweibley,291,0,0,2026-09-15T15:11:56Z
85,brixen,951,0,0,2026-09-15T00:31:17Z
87,tmornini,9,0,0,2026-09-16T02:30:55Z
89,daksis,717,0,0,2026-09-10T15:25:07Z
92,rsl,51,0,0,2026-09-14T16:23:46Z
93,imownbey,189,0,0,2026-09-14T18:30:24Z
95,jm,144,0,0,2026-09-16T02:45:57Z
100,kmarsh,1349,0,0,2026-09-03T18:17:26Z
101,jvantuyl,82,0,0,2026-09-07T00:21:46Z
103,freeformz,239,0,0,2026-09-15T15:12:52Z
104,hassox,422,0,0,2026-09-08T19:14:37Z
106,queso,45,0,0,2026-09-16T04:27:54Z
107,lancecarlson,1763,0,0,2026-09-04T17:52:24Z
111,HamptonMakes,67,0,0,2026-09-15T16:11:34Z
113,mattetti,1150,0,0,2026-08-17T14:40:32Z
114,ctennis,4,0,0,2026-09-15T18:25:52Z
117,grempe,384,0,0,2026-09-16T05:58:14Z
118,peterc,1164,0,0,2026-09-14T14:38:21Z
120,afarnham,70,0,0,2026-09-15T18:05:51Z
123,heavysixer,170,0,0,2026-09-05T01:02:59Z
125,danielmorrison,31,0,0,2026-09-03T15:55:18Z
129,canadaduane,870,0,0,2026-09-16T04:37:59Z
130,corasaurus-hex,1107,0,0,2026-09-15T05:45:24Z
131,dstrelau,341,0,0,2026-09-14T17:14:32Z
132,sunny,704,0,0,2026-09-15T10:14:37Z
133,dkubb,135,0,0,2026-09-06T07:29:03Z
4,wycats,256,0,0,2026-09-15T18:36:47Z
6,ivey,61,0,0,2026-08-23T23:02:17Z
7,evanphx,148,0,0,2026-09-16T11:21:50Z
17,vanpelt,761,0,0,2026-09-14T14:59:30Z
18,wayneeseguin,236,0,0,2026-09-15T01:21:57Z
19,brynary,1651,0,0,2026-09-14T17:04:12Z
20,kevinclark,25,0,0,2026-09-15T02:08:00Z
22,macournoyer,330,0,0,2026-09-14T23:22:13Z
25,caged,1379,0,0,2026-09-05T12:41:43Z
26,topfunky,1002,0,0,2026-09-16T01:46:57Z
29,lukas,82,0,0,2026-09-14T20:27:00Z
34,nitay,91,0,0,2026-09-11T17:34:07Z
45,sethfitz,1450,0,0,2026-09-16T04:11:09Z
46,bmizerany,217,0,0,2026-08-30T19:55:23Z
47,jnewland,1059,0,0,2026-08-27T20:01:22Z
68,bs,447,0,0,2026-09-08T23:52:46Z
69,rsanheim,52,0,0,2026-09-16T09:09:06Z
70,schacon,327,0,0,2026-09-07T11:42:51Z
72,bruce,252,0,0,2026-09-06T05:06:56Z
74,mmower,121,0,0,2026-09-14T12:59:01Z
75,abhay,10,0,0,2026-09-14T01:04:51Z
76,rabble,155,0,0,2026-09-15T05:26:57Z
77,benburkert,129,0,0,2026-09-10T19:50:00Z
78,indirect,879,0,0,2026-09-14T11:40:11Z
79,fearoffish,73,0,0,2026-09-14T12:29:44Z
80,ry,125,0,0,2026-09-15T09:03:06Z
82,jsierles,89,0,0,2026-09-02T22:35:01Z
83,tweibley,291,0,0,2026-09-15T15:11:56Z
85,brixen,951,0,0,2026-09-15T00:31:17Z
87,tmornini,9,0,0,2026-09-16T02:30:55Z
89,daksis,717,0,0,2026-09-10T15:25:07Z
92,rsl,51,0,0,2026-09-14T16:23:46Z
93,imownbey,189,0,0,2026-09-14T18:30:24Z
95,jm,144,0,0,2026-09-16T02:45:57Z
100,kmarsh,1349,0,0,2026-09-03T18:17:26Z
101,jvantuyl,82,0,0,2026-09-07T00:21:46Z
103,freeformz,239,0,0,2026-09-15T15:12:52Z
104,hassox,422,0,0,2026-09-08T19:14:37Z
106,queso,45,0,0,2026-09-16T04:27:54Z
107,lancecarlson,1763,0,0,2026-09-04T17:52:24Z
111,HamptonMakes,67,0,0,2026-09-15T16:11:34Z
113,mattetti,1150,0,0,2026-08-17T14:40:32Z
114,ctennis,4,0,0,2026-09-15T18:25:52Z
117,grempe,384,0,0,2026-09-16T05:58:14Z
118,peterc,1164,0,0,2026-09-14T14:38:21Z
120,afarnham,70,0,0,2026-09-15T18:05:51Z
123,heavysixer,170,0,0,2026-09-05T01:02:59Z
125,danielmorrison,31,0,0,2026-09-03T15:55:18Z
129,canadaduane,870,0,0,2026-09-16T04:37:59Z
130,corasaurus-hex,1107,0,0,2026-09-15T05:45:24Z
131,dstrelau,341,0,0,2026-09-14T17:14:32Z
132,sunny,704,0,0,2026-09-15T10:14:37Z
133,dkubb,135,0,0,2026-09-06T07:29:03Z
4,wycats,256,0,0,2026-09-15T18:36:47Z
6,ivey,61,0,0,2026-08-23T23:02:17Z
7,evanphx,148,0,0,2026-09-16T13:00:07Z
17,vanpelt,761,0,0,2026-09-14T14:59:30Z
18,wayneeseguin,236,0,0,2026-09-15T01:21:57Z
19,brynary,1651,0,0,2026-09-14T20:31:10Z
20,kevinclark,25,0,0,2026-09-15T02:08:00Z
22,macournoyer,330,0,0,2026-09-14T23:22:13Z
25,caged,1379,0,0,2026-09-05T12:41:43Z
26,topfunky,1002,0,0,2026-09-16T01:46:57Z
29,lukas,82,0,0,2026-09-15T04:19:34Z
34,nitay,91,0,0,2026-09-11T17:34:07Z
45,sethfitz,1450,0,0,2026-09-16T04:11:09Z
46,bmizerany,217,0,0,2026-08-30T19:55:23Z
47,jnewland,1059,0,0,2026-08-27T20:01:22Z
68,bs,447,0,0,2026-09-08T23:52:46Z
69,rsanheim,52,0,0,2026-09-16T09:09:06Z
70,schacon,327,0,0,2026-09-07T11:42:51Z
72,bruce,252,0,0,2026-09-06T05:06:56Z
74,mmower,121,0,0,2026-09-14T12:59:01Z
75,abhay,10,0,0,2026-09-14T01:04:51Z
76,rabble,155,0,0,2026-09-15T05:26:57Z
77,benburkert,129,0,0,2026-09-10T19:50:00Z
78,indirect,879,0,0,2026-09-14T11:40:11Z
79,fearoffish,73,0,0,2026-09-14T12:29:44Z
80,ry,125,0,0,2026-09-15T09:03:06Z
82,jsierles,89,0,0,2026-09-02T22:35:01Z
83,tweibley,291,0,0,2026-09-15T15:11:56Z
85,brixen,951,0,0,2026-09-15T00:31:17Z
87,tmornini,9,0,0,2026-09-16T02:30:55Z
89,daksis,717,0,0,2026-09-10T15:25:07Z
92,rsl,51,0,0,2026-09-14T16:23:46Z
93,imownbey,189,0,0,2026-09-14T18:30:24Z
95,jm,144,0,0,2026-09-16T02:45:57Z
100,kmarsh,1349,0,0,2026-09-03T18:17:26Z
101,jvantuyl,82,0,0,2026-09-07T00:21:46Z
103,freeformz,239,0,0,2026-09-15T15:12:52Z
104,hassox,422,0,0,2026-09-08T19:14:37Z
106,queso,45,0,0,2026-09-16T04:27:54Z
107,lancecarlson,1763,0,0,2026-09-04T17:52:24Z
111,HamptonMakes,67,0,0,2026-09-15T16:11:34Z
113,mattetti,1150,0,0,2026-08-17T14:40:32Z
114,ctennis,4,0,0,2026-09-15T18:25:52Z
117,grempe,384,0,0,2026-09-16T05:58:14Z
118,peterc,1164,0,0,2026-09-14T14:38:21Z
120,afarnham,70,0,0,2026-09-15T18:05:51Z
123,heavysixer,170,0,0,2026-09-05T01:02:59Z
125,danielmorrison,31,0,0,2026-09-03T15:55:18Z
129,canadaduane,870,0,0,2026-09-16T04:37:59Z
130,corasaurus-hex,1107,0,0,2026-09-15T05:45:24Z
131,dstrelau,341,0,0,2026-09-14T17:14:32Z
132,sunny,704,0,0,2026-09-15T10:14:37Z
133,dkubb,135,0,0,2026-09-06T07:29:03Z
4,wycats,256,0,0,2026-09-15T18:36:47Z
6,ivey,61,0,0,2026-08-23T23:02:17Z
7,evanphx,148,0,0,2026-09-16T11:21:48Z
17,vanpelt,761,0,0,2026-09-14T14:59:30Z
18,wayneeseguin,236,0,0,2026-09-16T13:37:38Z
19,brynary,1651,0,0,2026-09-14T21:06:45Z
20,kevinclark,25,0,0,2026-09-15T02:08:00Z
22,macournoyer,330,0,0,2026-09-14T23:22:13Z
25,caged,1379,0,0,2026-09-05T12:41:43Z
26,topfunky,1002,0,0,2026-09-16T01:46:57Z
29,lukas,82,0,0,2026-09-15T04:19:34Z
34,nitay,91,0,0,2026-09-11T17:34:07Z
45,sethfitz,1450,0,0,2026-09-16T04:11:09Z
46,bmizerany,217,0,0,2026-08-30T19:55:23Z
47,jnewland,1059,0,0,2026-08-27T20:01:22Z
68,bs,447,0,0,2026-09-08T23:52:46Z
69,rsanheim,52,0,0,2026-09-14T21:17:04Z
70,schacon,327,0,0,2026-09-07T11:42:51Z
72,bruce,252,0,0,2026-09-06T05:06:56Z
74,mmower,121,0,0,2026-09-14T12:59:01Z
75,abhay,10,0,0,2026-09-14T01:04:51Z
76,rabble,155,0,0,2026-09-15T05:26:57Z
77,benburkert,129,0,0,2026-09-10T19:50:00Z
78,indirect,879,0,0,2026-09-14T11:40:11Z
79,fearoffish,73,0,0,2026-09-14T12:29:44Z
80,ry,125,0,0,2026-09-15T09:03:06Z
82,jsierles,89,0,0,2026-09-02T22:35:01Z
83,tweibley,291,0,0,2026-09-15T15:11:56Z
85,brixen,951,0,0,2026-09-15T00:31:17Z
87,tmornini,9,0,0,2026-09-16T02:30:55Z
89,daksis,717,0,0,2026-09-10T15:25:07Z
92,rsl,51,0,0,2026-09-16T13:44:24Z
93,imownbey,189,0,0,2026-09-14T18:30:24Z
95,jm,144,0,0,2026-09-16T02:45:57Z
100,kmarsh,1349,0,0,2026-09-03T18:17:26Z
101,jvantuyl,82,0,0,2026-09-07T00:21:46Z
103,freeformz,239,0,0,2026-09-15T15:12:52Z
104,hassox,422,0,0,2026-09-08T19:14:37Z
106,queso,45,0,0,2026-09-16T13:50:59Z
107,lancecarlson,1763,0,0,2026-09-04T17:52:24Z
111,HamptonMakes,67,0,0,2026-09-15T16:11:34Z
113,mattetti,1150,0,0,2026-08-17T14:40:32Z
114,ctennis,4,0,0,2026-09-15T18:25:52Z
117,grempe,384,0,0,2026-09-16T14:11:53Z
118,peterc,1164,0,0,2026-09-14T14:38:21Z
120,afarnham,70,0,0,2026-09-15T18:05:51Z
123,heavysixer,170,0,0,2026-09-05T01:02:59Z
125,danielmorrison,31,0,0,2026-09-03T15:55:18Z
129,canadaduane,870,0,0,2026-09-16T04:37:59Z
130,corasaurus-hex,1107,0,0,2026-09-15T05:45:24Z
131,dstrelau,341,0,0,2026-09-14T17:14:32Z
132,sunny,704,0,0,2026-09-15T10:14:37Z
133,dkubb,135,0,0,2026-09-06T07:29:03Z
4,wycats,256,0,0,2026-09-15T18:36:47Z
6,ivey,61,0,0,2026-08-23T23:02:17Z
7,evanphx,148,0,0,2026-09-16T11:21:48Z
17,vanpelt,761,0,0,2026-09-14T14:59:30Z
18,wayneeseguin,236,0,0,2026-09-16T13:37:38Z
19,brynary,1652,0,0,2026-09-16T14:23:08Z
20,kevinclark,25,0,0,2026-09-15T02:08:00Z
22,macournoyer,330,0,0,2026-09-14T23:22:13Z
25,caged,1379,0,0,2026-09-05T12:41:43Z
26,topfunky,1002,0,0,2026-09-16T01:46:57Z
29,lukas,82,0,0,2026-09-15T04:19:34Z
34,nitay,91,0,0,2026-09-11T17:34:07Z
45,sethfitz,1450,0,0,2026-09-16T14:16:52Z
46,bmizerany,217,0,0,2026-08-30T19:55:23Z
47,jnewland,1059,0,0,2026-08-27T20:01:22Z
68,bs,447,0,0,2026-09-08T23:52:46Z
69,rsanheim,52,0,0,2026-09-14T21:17:04Z
70,schacon,327,0,0,2026-09-07T11:42:51Z
72,bruce,252,0,0,2026-09-06T05:06:56Z
74,mmower,121,0,0,2026-09-14T12:59:01Z
75,abhay,10,0,0,2026-09-14T01:04:51Z
76,rabble,155,0,0,2026-09-15T05:26:57Z
77,benburkert,129,0,0,2026-09-10T19:50:00Z
78,indirect,880,0,0,2026-09-16T14:33:16Z
79,fearoffish,73,0,0,2026-09-14T12:29:44Z
80,ry,125,0,0,2026-09-15T09:03:06Z
82,jsierles,89,0,0,2026-09-02T22:35:01Z
83,tweibley,291,0,0,2026-09-15T15:11:56Z
85,brixen,951,0,0,2026-09-15T00:31:17Z
87,tmornini,9,0,0,2026-09-16T02:30:55Z
89,daksis,717,0,0,2026-09-10T15:25:07Z
92,rsl,51,0,0,2026-09-16T13:44:24Z
93,imownbey,189,0,0,2026-09-14T18:30:24Z
95,jm,144,0,0,2026-09-16T02:45:57Z
100,kmarsh,1349,0,0,2026-09-03T18:17:26Z
101,jvantuyl,82,0,0,2026-09-07T00:21:46Z
103,freeformz,239,0,0,2026-09-15T15:12:52Z
104,hassox,422,0,0,2026-09-08T19:14:37Z
106,queso,45,0,0,2026-09-16T13:50:59Z
107,lancecarlson,1763,0,0,2026-09-04T17:52:24Z
111,HamptonMakes,67,0,0,2026-09-15T16:11:34Z
113,mattetti,1150,0,0,2026-08-17T14:40:32Z
114,ctennis,4,0,0,2026-09-15T18:25:52Z
117,grempe,384,0,0,2026-09-16T14:35:55Z
118,peterc,1164,0,0,2026-09-14T14:38:21Z
120,afarnham,70,0,0,2026-09-15T18:05:51Z
123,heavysixer,170,0,0,2026-09-05T01:02:59Z
125,danielmorrison,31,0,0,2026-09-03T15:55:18Z
129,canadaduane,870,0,0,2026-09-16T04:37:59Z
130,corasaurus-hex,1107,0,0,2026-09-15T05:44:30Z
131,dstrelau,341,0,0,2026-09-14T17:14:32Z
132,sunny,704,0,0,2026-09-16T14:29:38Z
133,dkubb,135,0,0,2026-09-06T07:29:03Z
4,wycats,256,0,0,2026-09-15T18:36:47Z
6,ivey,61,0,0,2026-08-23T23:02:17Z
7,evanphx,148,0,0,2026-09-16T11:21:48Z
17,vanpelt,761,0,0,2026-09-14T14:59:30Z
18,wayneeseguin,236,0,0,2026-09-14T22:17:09Z
19,brynary,1652,0,0,2026-09-16T14:23:08Z
20,kevinclark,25,0,0,2026-09-15T02:08:00Z
22,macournoyer,330,0,0,2026-09-14T23:22:13Z
25,caged,1379,0,0,2026-09-05T12:41:43Z
26,topfunky,1002,0,0,2026-09-16T01:46:57Z
29,lukas,82,0,0,2026-09-15T04:19:34Z
34,nitay,91,0,0,2026-09-11T17:34:07Z
45,sethfitz,1450,0,0,2026-09-16T14:16:52Z
46,bmizerany,217,0,0,2026-08-30T19:55:23Z
47,jnewland,1059,0,0,2026-08-27T20:01:22Z
68,bs,447,0,0,2026-09-08T23:52:46Z
69,rsanheim,52,0,0,2026-09-14T21:17:04Z
70,schacon,327,0,0,2026-09-07T11:42:51Z
72,bruce,252,0,0,2026-09-06T05:06:56Z
74,mmower,121,0,0,2026-09-14T12:59:01Z
75,abhay,10,0,0,2026-09-14T01:04:51Z
76,rabble,155,0,0,2026-09-15T05:26:57Z
77,benburkert,129,0,0,2026-09-10T19:50:00Z
78,indirect,880,0,0,2026-09-16T14:33:16Z
79,fearoffish,73,0,0,2026-09-14T12:29:44Z
80,ry,125,0,0,2026-09-15T09:03:06Z
82,jsierles,89,0,0,2026-09-02T22:35:01Z
83,tweibley,291,0,0,2026-09-15T15:11:56Z
